,Departamento,Municipality,Grid,MPIO_CCNCT,Coca Cultivation Area,Base Coca,Total Erradication,Predicted
76685,PUTUMAYO,PUERTO CAICEDO,120_50_2_6,86569,16.03980259144,5669328.0,9440.7132,23.391238741874695
12978,BOLÍVAR,SAN PABLO,34_6_2_2,13670,25.47308307677,10886451.0,9217.064,35.75150631904602
74546,PUTUMAYO,ORITO,120_75_3_6,86320,42.38936169987,3666141.0,36413.17,26.633948135375977
87403,VICHADA,CUMARIBO,73_88_3_3,99773,1.02,0.0,4386.14,2.2368999898433684
13960,BOLÍVAR,SANTA ROSA DEL SUR,27_66_2_6,13688,14.96146902203,498099.0,2760.52,6.778844013214111
43334,GUAVIARE,MIRAFLORES,111_89_1_9,95200,0.72,1276570.0,2520.87,0.7536296012997628
32257,CHOCÓ,BAJO BAUDÓ,54_43_4_9,27077,0.45,0.0,0.0,0.6479999929666519
72980,NORTE DE SANTANDER,TIBÚ,22_91_4_10,54810,89.1906945359,21444977.0,38468.77,91.21068452835082
69118,NORTE DE SANTANDER,HACARÍ,21_98_4_17,54344,0.68959942048,1987.0,0.0,1.5979027116298676
79148,PUTUMAYO,PUERTO GUZMÁN,121_67_1_4,86571,0.39080906621,100962.0,0.0,1.0819253808259963
64338,NARIÑO,SAMANIEGO,105_77_2_20,52678,1.633500916577,317035.0,0.0,2.233158197402954
79715,PUTUMAYO,PUERTO LEGUÍZAMO,121_95_2_21,86573,25.72950054022,497269.0,5421.44,22.41794948577881
86185,VICHADA,CUMARIBO,62_95_2_12,99773,2.0503238799999997,657761.0,7323.592000000001,2.8866038715839384
33394,CHOCÓ,ISTMINA,66_34_2_20,27361,1.37,0.0,0.0,1.9676758563518524
3757,ANTIOQUIA,ITUANGO,32_40_1_12,5361,3.910059141892,27593.0,0.0,8.279889883995056
23759,CAQUETÁ,SAN VICENTE DEL CAGUÁN,109_92_2_6,18753,1.8200574500000002,102402.0,1087.8606,1.3403664800338446
36563,CÓRDOBA,SAN JOSÉ DE URÉ,25_90_1_2,23682,0.7434,204641.0,0.0,1.7612048029899596
66388,NARIÑO,SAN ANDRÉS DE TUMACO,104_77_2_12,52835,229.4519664887,17622324.0,190728.12,186.5396044921875
36917,CÓRDOBA,TIERRALTA,25_44_2_15,23807,9.473493459478,980694.0,2009.3399999999997,12.983822593688965
9381,ARAUCA,FORTUL,37_73_1_20,81300,1.17,0.0,0.0,1.5161999905109405
50199,META,LA MACARENA,95_80_4_7,50350,0.08,0.0,0.0,1.213199996650219
27731,CAUCA,EL TAMBO,92_63_2_12,19256,94.056295073,911574.0,635.179,36.30640714883804
41164,GUAVIARE,EL RETORNO,97_75_3_2,95025,3.6329000000000002,2144158.0,13005.61,5.490488767623901
62583,NARIÑO,OLAYA HERRERA,90_80_2_13,52490,93.0547893098,5588914.0,14704.890000000001,75.09580867767335
62513,NARIÑO,OLAYA HERRERA,90_79_2_5,52490,62.4139230997,5588914.0,8731.06,54.69380926132202
84241,SANTANDER,LANDÁZURI,44_47_1_24,68385,0.36,0.0,0.0,2.126899962425232
18127,CAQUETÁ,CARTAGENA DEL CHAIRÁ,123_51_2_9,18150,3.24,0.0,465.07,3.2954999947547914
9644,ARAUCA,SARAVENA,36_70_3_9,81736,11.16,0.0,666.9200000000001,8.40239987552166
60371,NARIÑO,EL ROSARIO,105_27_2_7,52256,8.565495894,38169.0,3395.53,10.222903374433518
59875,NARIÑO,EL CHARCO,91_72_1_25,52250,5.16010534708,935801.0,418.97,3.993713231086731
2250,ANTIOQUIA,CÁCERES,26_95_1_6,5120,26.432834141889998,1798216.0,19862.743000000002,29.11427946090698
65763,NARIÑO,SAN ANDRÉS DE TUMACO,104_66_2_23,52835,289.80306431910003,22717839.0,182751.67,126.94278066635133
88495,VICHADA,CUMARIBO,74_4_2_12,99773,1.6199999999999999,0.0,9032.32,10.587100055217743
32644,CHOCÓ,BAJO BAUDÓ,66_3_4_9,27077,10.18526962,432.0,1210.9170000000001,8.166506410837174
34215,CHOCÓ,NÓVITA,54_88_1_9,27491,0.40900000000000003,0.0,2445.19,2.986459974348545
25946,CAQUETÁ,VALPARAÍSO,121_8_4_25,18860,0.72,0.0,461.8,1.7014000326395036
63579,NARIÑO,ROBERTO PAYÁN,104_39_1_5,52621,39.42090224339,1116215.0,14183.693000000001,16.587054781913757
17678,CAQUETÁ,CARTAGENA DEL CHAIRÁ,122_9_4_8,18150,10.40898553,119814.0,13321.49,15.496990258693694
72582,NORTE DE SANTANDER,TIBÚ,22_51_4_25,54810,66.89384855287,20597636.0,31090.18,76.80912929534912
39671,GUAVIARE,CALAMAR,111_32_1_3,95015,0.9,0.0,1989.49,1.0858000221848487
26882,CAUCA,BUENOS AIRES,78_97_1_2,19110,1.21084635518,4250.0,0.0,4.459927682876587
89012,VICHADA,CUMARIBO,75_17_4_17,99773,1.44,0.0,0.0,1.5062000393867492
59520,NARIÑO,CUMBITARA,105_58_2_5,52233,22.38135086254,202755.0,3328.128,23.29042458295822
67536,NORTE DE SANTANDER,CONVENCIÓN,21_65_4_15,54206,12.810123535159999,608324.0,0.0,21.565990333557128
80410,PUTUMAYO,PUERTO LEGUÍZAMO,132_17_2_20,86573,10.5166722999984,280791.0,6651.39,14.43547297000885
53128,META,PUERTO CONCORDIA,97_32_2_4,50450,0.17,0.0,1988.23,1.0146000176668166
85586,VALLE DEL CAUCA,JAMUNDÍ,78_87_1_20,76364,9.26615680744,472091.0,0.0,10.640702447891236
